iter	Passed	Remaining
1039	25523	465320
1040	25543	465204
1041	25564	465120
1042	25589	465099
1043	25613	465066
1044	25635	465001
1045	25656	464907
1046	25679	464853
1047	25702	464794
1048	25724	464737
1049	25748	464694
1050	25770	464635
1051	25792	464567
1052	25813	464467
1053	25834	464388
1054	25854	464283
1055	25882	464313
1056	25905	464259
1057	25926	464183
1058	25949	464119
1059	25968	464004
1060	25991	463943
1061	26008	463790
1062	26029	463705
1063	26050	463617
1064	26072	463550
1065	26096	463515
1066	26117	463438
1067	26135	463302
1068	26156	463201
1069	26177	463123
1070	26199	463052
1071	26223	463022
1072	26240	462862
1073	26263	462820
1074	26286	462761
1075	26308	462688
1076	26327	462584
1077	26353	462584
1078	26375	462509
1079	26398	462467
1080	26420	462398
1081	26440	462300
1082	26458	462159
1083	26478	462054
1084	26501	462010
1085	26524	461964
1086	26545	461865
1087	26565	461775
1088	26588	461715
1089	26606	461590
1090	26627	461510
1091	26647	461409
1092	26668	461325
1093	26688	461212
1094	26709	461130
1095	26729	461040
1096	26749	460927
1097	26771	460873
1098	26793	460801
1099	26814	460729
1100	26835	460644
1101	26855	460537
1102	26871	460374
1103	26892	460292
1104	26916	460252
1105	26937	460174
1106	26958	460103
1107	26980	460034
1108	27001	459947
1109	27022	459866
1110	27042	459776
1111	27064	459710
1112	27085	459625
1113	27104	459512
1114	27126	459455
1115	27149	459404
1116	27171	459335
1117	27194	459293
1118	27218	459252
1119	27240	459194
1120	27260	459106
1121	27280	459001
1122	27301	458929
1123	27323	458865
1124	27349	458860
1125	27376	458881
1126	27411	459047
1127	27437	459037
1128	27463	459050
1129	27488	459030
1130	27513	459027
1131	27540	459032
1132	27566	459040
1133	27592	459047
1134	27615	459004
1135	27636	458920
1136	27659	458874
1137	27681	458804
1138	27705	458777
1139	27725	458680
1140	27749	458663
1141	27769	458558
1142	27791	458501
1143	27814	458454
1144	27832	458325
1145	27852	458227
1146	27876	458193
1147	27897	458123
1148	27936	458342
1149	27961	458324
1150	27983	458257
1151	28007	458237
1152	28030	458190
1153	28055	458180
1154	28080	458157
1155	28107	458188
1156	28132	458168
1157	28157	458152
1158	28182	458138
1159	28204	458075
1160	28229	458069
1161	28254	458059
1162	28280	458050
1163	28307	458073
1164	28329	458010
1165	28351	457959
1166	28376	457940
1167	28401	457923
1168	28427	457925
1169	28450	457888
1170	28472	457823
1171	28498	457821
1172	28524	457824
1173	28551	457843
1174	28578	457862
1175	28602	457840
1176	28627	457816
1177	28652	457814
1178	28676	457781
1179	28696	457691
1180	28718	457626
1181	28738	457525
1182	28756	457406
1183	28779	457355
1184	28803	457331
1185	28829	457330
1186	28857	457366
1187	28882	457349
1188	28906	457323
1189	28929	457277
1190	28949	457193
1191	28971	457124
1192	28992	457051
1193	29010	456926
1194	29028	456806
1195	29050	456740
1196	29072	456686
1197	29094	456618
1198	29115	456539
1199	29134	456441
1200	29153	456338
1201	29173	456242
1202	29194	456163
1203	29213	456067
1204	29235	455993
1205	29253	455886
1206	29275	455814
1207	29296	455752
1208	29314	455624
1209	29334	455529
1210	29355	455457
1211	29377	455402
1212	29398	455330
1213	29420	455259
1214	29442	455200
1215	29464	455147
1216	29483	455041
1217	29500	454915
1218	29522	454856
1219	29550	454889
1220	29571	454807
1221	29591	454722
1222	29612	454654
1223	29635	454609
1224	29654	454499
1225	29676	454448
1226	29697	454375
1227	29719	454313
1228	29741	454251
1229	29764	454215
1230	29787	454169
1231	29808	454103
1232	29829	454029
1233	29853	453996
1234	29876	453950
1235	29898	453891
1236	29919	453824
1237	29941	453763
1238	29961	453684
1239	29983	453617
1240	30003	453536
1241	30024	453467
1242	30046	453405
1243	30069	453365
1244	30092	453316
1245	30113	453252
1246	30135	453195
1247	30156	453118
1248	30177	453053
1249	30198	452981
1250	30218	452894
1251	30239	452825
1252	30261	452764
1253	30282	452695
1254	30304	452630
1255	30321	452506
1256	30342	452441
1257	30365	452385
1258	30385	452307
1259	30402	452181
1260	30423	452100
1261	30444	452040
1262	30466	451974
1263	30488	451923
1264	30510	451867
